Skin Tone,Season,Color Name,Hex Code,R_Value,G_Value,B_Value
Ivory,Spring,Light Coral,#F08080,255,255,240
Ivory,Spring,Peach,#FFDAB9,255,255,240
Ivory,Spring,Warm Ivory,#FFFAF0,255,255,240
Ivory,Spring,Golden Beige,#F5DEB3,255,255,240
Ivory,Spring,Soft Yellow,#FFFFE0,255,255,240
Ivory,Summer,Cool Blue,#87CEFA,255,255,240
Ivory,Summer,Lavender,#E6E6FA,255,255,240
Ivory,Summer,Soft Pink,#FFB6C1,255,255,240
Ivory,Summer,Cool Beige,#F5F5DC,255,255,240
Ivory,Summer,Light Grey,#D3D3D3,255,255,240
Ivory,Autumn,Olive Green,#808000,255,255,240
Ivory,Autumn,Mustard Yellow,#FFDB58,255,255,240
Ivory,Autumn,Warm Sand,#F4A460,255,255,240
Ivory,Autumn,Amber,#FFBF00,255,255,240
Ivory,Autumn,Burnt Orange,#CC5500,255,255,240
Ivory,Winter,Deep Red,#8B0000,255,255,240
Ivory,Winter,Cool Espresso,#4B3832,255,255,240
Ivory,Winter,Cool Almond,#EFDECD,255,255,240
Ivory,Winter,Mocha,#6F4E37,255,255,240
Ivory,Winter,Dark Teal,#014421,255,255,240
Vanilla,Spring,Soft Peach,#FFDAB9,249,229,188
Vanilla,Spring,Blush,#FFC0CB,249,229,188
Vanilla,Spring,Light Apricot,#F5DEB3,249,229,188
Vanilla,Spring,Buttermilk,#FFFACD,249,229,188
Vanilla,Spring,Banana,#FFFF99,249,229,188
Vanilla,Summer,Periwinkle,#CCCCFF,249,229,188
Vanilla,Summer,Light Lavender,#E6E6FA,249,229,188
Vanilla,Summer,Rose,#FF007F,249,229,188
Vanilla,Summer,Snow,#FFFAFA,249,229,188
Vanilla,Summer,Pale Blue,#AFEEEE,249,229,188
Vanilla,Autumn,Moss Green,#8A9A5B,249,229,188
Vanilla,Autumn,Golden Brown,#996515,249,229,188
Vanilla,Autumn,Tawny,#CD5700,249,229,188
Vanilla,Autumn,Goldenrod,#DAA520,249,229,188
Vanilla,Autumn,Rust,#B7410E,249,229,188
Vanilla,Winter,Cherry,#DE3163,249,229,188
Vanilla,Winter,Dark Chocolate,#3C2F2F,249,229,188
Vanilla,Winter,Ivory,#FFFFF0,249,229,188
Vanilla,Winter,Ruby,#E0115F,249,229,188
Vanilla,Winter,Sea Green,#2E8B57,249,229,188
Shell,Spring,Light Pink,#FFB6C1,255,245,238
Shell,Spring,Warm Blush,#FF69B4,255,245,238
Shell,Spring,Apricot,#FBCEB1,255,245,238
Shell,Spring,Cream,#FFFDD0,255,245,238
Shell,Spring,Lemon,#FFF44F,255,245,238
Shell,Summer,Baby Blue,#89CFF0,255,245,238
Shell,Summer,Light Purple,#D8BFD8,255,245,238
Shell,Summer,Soft Rose,#FFB6C1,255,245,238
Shell,Summer,White,#FFFFFF,255,245,238
Shell,Summer,Aqua,#00FFFF,255,245,238
Shell,Autumn,Forest Green,#228B22,255,245,238
Shell,Autumn,Warm Tan,#D2B48C,255,245,238
Shell,Autumn,Copper,#B87333,255,245,238
Shell,Autumn,Dark Goldenrod,#B8860B,255,245,238
Shell,Autumn,Chocolate,#D2691E,255,245,238
Shell,Winter,Raspberry,#E30B5D,255,245,238
Shell,Winter,Mocha,#3B2F2F,255,245,238
Shell,Winter,Creamy White,#FFFFF0,255,245,238
Shell,Winter,Deep Magenta,#C71585,255,245,238
Shell,Winter,Deep Sea Green,#8FBC8F,255,245,238
Cool Beige,Spring,Peach,#FFDAB9,233,220,214
Cool Beige,Spring,Coral,#FF7F50,233,220,214
Cool Beige,Spring,Light Lemon,#FFFACD,233,220,214
Cool Beige,Spring,Soft Gold,#FFD700,233,220,214
Cool Beige,Spring,Warm Beige,#F5F5DC,233,220,214
Cool Beige,Summer,Light Sky Blue,#87CEFA,233,220,214
Cool Beige,Summer,Lilac,#C8A2C8,233,220,214
Cool Beige,Summer,Soft Pink,#FFB6C1,233,220,214
Cool Beige,Summer,Pale Aqua,#AFEEEE,233,220,214
Cool Beige,Summer,Misty Rose,#FFE4E1,233,220,214
Cool Beige,Autumn,Olive,#808000,233,220,214
Cool Beige,Autumn,Golden Rod,#DAA520,233,220,214
Cool Beige,Autumn,Light Tan,#D2B48C,233,220,214
Cool Beige,Autumn,Bronze,#CD7F32,233,220,214
Cool Beige,Autumn,Burnt Sienna,#E97451,233,220,214
Cool Beige,Winter,Dark Red,#8B0000,233,220,214
Cool Beige,Winter,Deep Brown,#654321,233,220,214
Cool Beige,Winter,Soft Ivory,#FFFFF0,233,220,214
Cool Beige,Winter,Purple Wine,#800080,233,220,214
Cool Beige,Winter,Teal,#008080,233,220,214
Warm Ivory,Spring,Light Coral,#F08080,238,218,199
Warm Ivory,Spring,Peach,#FFDAB9,238,218,199
Warm Ivory,Spring,Warm Ivory,#FFFAF0,238,218,199
Warm Ivory,Spring,Golden Beige,#F5DEB3,238,218,199
Warm Ivory,Spring,Soft Yellow,#FFFFE0,238,218,199
Warm Ivory,Summer,Cool Blue,#87CEFA,238,218,199
Warm Ivory,Summer,Lavender,#E6E6FA,238,218,199
Warm Ivory,Summer,Soft Pink,#FFB6C1,238,218,199
Warm Ivory,Summer,Cool Beige,#F5F5DC,238,218,199
Warm Ivory,Summer,Light Grey,#D3D3D3,238,218,199
Warm Ivory,Autumn,Olive Green,#808000,238,218,199
Warm Ivory,Autumn,Mustard Yellow,#FFDB58,238,218,199
Warm Ivory,Autumn,Warm Sand,#F4A460,238,218,199
Warm Ivory,Autumn,Amber,#FFBF00,238,218,199
Warm Ivory,Autumn,Burnt Orange,#CC5500,238,218,199
Warm Ivory,Winter,Deep Red,#8B0000,238,218,199
Warm Ivory,Winter,Cool Espresso,#4B3832,238,218,199
Warm Ivory,Winter,Cool Almond,#EFDECD,238,218,199
Warm Ivory,Winter,Mocha,#6F4E37,238,218,199
Warm Ivory,Winter,Dark Teal,#014421,238,218,199
Golden Natural,Spring,Soft Apricot,#FBCEB1,255,215,0
Golden Natural,Spring,Coral,#FF7F50,255,215,0
Golden Natural,Spring,Light Peach,#FFDAB9,255,215,0
Golden Natural,Spring,Warm Ivory,#FFFAF0,255,215,0
Golden Natural,Spring,Honey,#FFDD44,255,215,0
Golden Natural,Summer,Cool Blue,#87CEFA,255,215,0
Golden Natural,Summer,Lavender,#E6E6FA,255,215,0
Golden Natural,Summer,Soft Rose,#FFB6C1,255,215,0
Golden Natural,Summer,Light Taupe,#D2B48C,255,215,0
Golden Natural,Summer,Slate Grey,#708090,255,215,0
Golden Natural,Autumn,Forest Green,#228B22,255,215,0
Golden Natural,Autumn,Golden,#FFD700,255,215,0
Golden Natural,Autumn,Caramel,#E3A857,255,215,0
Golden Natural,Autumn,Copper,#B87333,255,215,0
Golden Natural,Autumn,Warm Brown,#A52A2A,255,215,0
Golden Natural,Winter,Ruby Red,#9B111E,255,215,0
Golden Natural,Winter,Chocolate,#7B3F00,255,215,0
Golden Natural,Winter,Ivory,#FFFFF0,255,215,0
Golden Natural,Winter,Burgundy,#800020,255,215,0
Golden Natural,Winter,Deep Navy,#000080,255,215,0
Warm Beige,Spring,Peach,#FFDAB9,211,182,156
Warm Beige,Spring,Coral,#FF7F50,211,182,156
Warm Beige,Spring,Light Lemon,#FFFACD,211,182,156
Warm Beige,Spring,Soft Gold,#FFD700,211,182,156
Warm Beige,Spring,Warm Beige,#F5F5DC,211,182,156
Warm Beige,Summer,Light Sky Blue,#87CEFA,211,182,156
Warm Beige,Summer,Lilac,#C8A2C8,211,182,156
Warm Beige,Summer,Soft Pink,#FFB6C1,211,182,156
Warm Beige,Summer,Pale Aqua,#AFEEEE,211,182,156
Warm Beige,Summer,Misty Rose,#FFE4E1,211,182,156
Warm Beige,Autumn,Olive,#808000,211,182,156
Warm Beige,Autumn,Golden Rod,#DAA520,211,182,156
Warm Beige,Autumn,Light Tan,#D2B48C,211,182,156
Warm Beige,Autumn,Bronze,#CD7F32,211,182,156
Warm Beige,Autumn,Burnt Sienna,#E97451,211,182,156
Warm Beige,Winter,Dark Red,#8B0000,211,182,156
Warm Beige,Winter,Deep Brown,#654321,211,182,156
Warm Beige,Winter,Soft Ivory,#FFFFF0,211,182,156
Warm Beige,Winter,Purple Wine,#800080,211,182,156
Warm Beige,Winter,Teal,#008080,211,182,156
Soft Beige,Spring,Light Coral,#F08080,245,245,220
Soft Beige,Spring,Peach,#FFDAB9,245,245,220
Soft Beige,Spring,Warm Ivory,#FFFAF0,245,245,220
Soft Beige,Spring,Golden Beige,#F5DEB3,245,245,220
Soft Beige,Spring,Soft Yellow,#FFFFE0,245,245,220
Soft Beige,Summer,Cool Blue,#87CEFA,245,245,220
Soft Beige,Summer,Lavender,#E6E6FA,245,245,220
Soft Beige,Summer,Soft Pink,#FFB6C1,245,245,220
Soft Beige,Summer,Cool Beige,#F5F5DC,245,245,220
Soft Beige,Summer,Light Grey,#D3D3D3,245,245,220
Soft Beige,Autumn,Olive Green,#808000,245,245,220
Soft Beige,Autumn,Mustard Yellow,#FFDB58,245,245,220
Soft Beige,Autumn,Warm Sand,#F4A460,245,245,220
Soft Beige,Autumn,Amber,#FFBF00,245,245,220
Soft Beige,Autumn,Burnt Orange,#CC5500,245,245,220
Soft Beige,Winter,Deep Red,#8B0000,245,245,220
Soft Beige,Winter,Cool Espresso,#4B3832,245,245,220
Soft Beige,Winter,Cool Almond,#EFDECD,245,245,220
Soft Beige,Winter,Mocha,#6F4E37,245,245,220
Soft Beige,Winter,Dark Teal,#014421,245,245,220
Warm Vanilla,Spring,Peach,#FFDAB9,243,229,171
Warm Vanilla,Spring,Coral,#FF7F50,243,229,171
Warm Vanilla,Spring,Light Lemon,#FFFACD,243,229,171
Warm Vanilla,Spring,Soft Gold,#FFD700,243,229,171
Warm Vanilla,Spring,Warm Beige,#F5F5DC,243,229,171
Warm Vanilla,Summer,Light Sky Blue,#87CEFA,243,229,171
Warm Vanilla,Summer,Lilac,#C8A2C8,243,229,171
Warm Vanilla,Summer,Soft Pink,#FFB6C1,243,229,171
Warm Vanilla,Summer,Pale Aqua,#AFEEEE,243,229,171
Warm Vanilla,Summer,Misty Rose,#FFE4E1,243,229,171
Warm Vanilla,Autumn,Olive,#808000,243,229,171
Warm Vanilla,Autumn,Golden Rod,#DAA520,243,229,171
Warm Vanilla,Autumn,Light Tan,#D2B48C,243,229,171
Warm Vanilla,Autumn,Bronze,#CD7F32,243,229,171
Warm Vanilla,Autumn,Burnt Sienna,#E97451,243,229,171
Warm Vanilla,Winter,Dark Red,#8B0000,243,229,171
Warm Vanilla,Winter,Deep Brown,#654321,243,229,171
Warm Vanilla,Winter,Soft Ivory,#FFFFF0,243,229,171
Warm Vanilla,Winter,Purple Wine,#800080,243,229,171
Warm Vanilla,Winter,Teal,#008080,243,229,171
Sand,Spring,Light Coral,#F08080,194,178,128
Sand,Spring,Peach,#FFDAB9,194,178,128
Sand,Spring,Warm Ivory,#FFFAF0,194,178,128
Sand,Spring,Golden Beige,#F5DEB3,194,178,128
Sand,Spring,Soft Yellow,#FFFFE0,194,178,128
Sand,Summer,Cool Blue,#87CEFA,194,178,128
Sand,Summer,Lavender,#E6E6FA,194,178,128
Sand,Summer,Soft Pink,#FFB6C1,194,178,128
Sand,Summer,Cool Beige,#F5F5DC,194,178,128
Sand,Summer,Light Grey,#D3D3D3,194,178,128
Sand,Autumn,Olive Green,#808000,194,178,128
Sand,Autumn,Mustard Yellow,#FFDB58,194,178,128
Sand,Autumn,Warm Sand,#F4A460,194,178,128
Sand,Autumn,Amber,#FFBF00,194,178,128
Sand,Autumn,Burnt Orange,#CC5500,194,178,128
Sand,Winter,Deep Red,#8B0000,194,178,128
Sand,Winter,Cool Espresso,#4B3832,194,178,128
Sand,Winter,Cool Almond,#EFDECD,194,178,128
Sand,Winter,Mocha,#6F4E37,194,178,128
Sand,Winter,Dark Teal,#014421,194,178,128
Porcelain,Spring,Light Coral,#F08080,243,230,213
Porcelain,Spring,Peach,#FFDAB9,243,230,213
Porcelain,Spring,Warm Ivory,#FFFAF0,243,230,213
Porcelain,Spring,Golden Beige,#F5DEB3,243,230,213
Porcelain,Spring,Soft Yellow,#FFFFE0,243,230,213
Porcelain,Summer,Cool Blue,#87CEFA,243,230,213
Porcelain,Summer,Lavender,#E6E6FA,243,230,213
Porcelain,Summer,Soft Pink,#FFB6C1,243,230,213
Porcelain,Summer,Cool Beige,#F5F5DC,243,230,213
Porcelain,Summer,Light Grey,#D3D3D3,243,230,213
Porcelain,Autumn,Olive Green,#808000,243,230,213
Porcelain,Autumn,Mustard Yellow,#FFDB58,243,230,213
Porcelain,Autumn,Warm Sand,#F4A460,243,230,213
Porcelain,Autumn,Amber,#FFBF00,243,230,213
Porcelain,Autumn,Burnt Orange,#CC5500,243,230,213
Porcelain,Winter,Deep Red,#8B0000,243,230,213
Porcelain,Winter,Cool Espresso,#4B3832,243,230,213
Porcelain,Winter,Cool Almond,#EFDECD,243,230,213
Porcelain,Winter,Mocha,#6F4E37,243,230,213
Porcelain,Winter,Dark Teal,#014421,243,230,213
Beige,Spring,Light Coral,#F08080,245,231,220
Beige,Spring,Peach,#FFDAB9,245,231,220
Beige,Spring,Warm Ivory,#FFFAF0,245,231,220
Beige,Spring,Golden Beige,#F5DEB3,245,231,220
Beige,Spring,Soft Yellow,#FFFFE0,245,231,220
Beige,Summer,Cool Blue,#87CEFA,245,231,220
Beige,Summer,Lavender,#E6E6FA,245,231,220
Beige,Summer,Soft Pink,#FFB6C1,245,231,220
Beige,Summer,Cool Beige,#F5F5DC,245,231,220
Beige,Summer,Light Grey,#D3D3D3,245,231,220
Beige,Autumn,Olive Green,#808000,245,231,220
Beige,Autumn,Mustard Yellow,#FFDB58,245,231,220
Beige,Autumn,Warm Sand,#F4A460,245,231,220
Beige,Autumn,Amber,#FFBF00,245,231,220
Beige,Autumn,Burnt Orange,#CC5500,245,231,220
Beige,Winter,Deep Red,#8B0000,245,231,220
Beige,Winter,Cool Espresso,#4B3832,245,231,220
Beige,Winter,Cool Almond,#EFDECD,245,231,220
Beige,Winter,Mocha,#6F4E37,245,231,220
Beige,Winter,Dark Teal,#014421,245,231,220
Buff,Spring,Light Coral,#F08080,245,202,164
Buff,Spring,Peach,#FFDAB9,245,202,164
Buff,Spring,Warm Ivory,#FFFAF0,245,202,164
Buff,Spring,Golden Beige,#F5DEB3,245,202,164
Buff,Spring,Soft Yellow,#FFFFE0,245,202,164
Buff,Summer,Cool Blue,#87CEFA,245,202,164
Buff,Summer,Lavender,#E6E6FA,245,202,164
Buff,Summer,Soft Pink,#FFB6C1,245,202,164
Buff,Summer,Cool Beige,#F5F5DC,245,202,164
Buff,Summer,Light Grey,#D3D3D3,245,202,164
Buff,Autumn,Olive Green,#808000,245,202,164
Buff,Autumn,Mustard Yellow,#FFDB58,245,202,164
Buff,Autumn,Warm Sand,#F4A460,245,202,164
Buff,Autumn,Amber,#FFBF00,245,202,164
Buff,Autumn,Burnt Orange,#CC5500,245,202,164
Buff,Winter,Deep Red,#8B0000,245,202,164
Buff,Winter,Cool Espresso,#4B3832,245,202,164
Buff,Winter,Cool Almond,#EFDECD,245,202,164
Buff,Winter,Mocha,#6F4E37,245,202,164
Buff,Winter,Dark Teal,#014421,245,202,164
Olive Beige,Spring,Light Coral,#F08080,255,248,214
Olive Beige,Spring,Peach,#FFDAB9,255,248,214
Olive Beige,Spring,Warm Ivory,#FFFAF0,255,248,214
Olive Beige,Spring,Golden Beige,#F5DEB3,255,248,214
Olive Beige,Spring,Soft Yellow,#FFFFE0,255,248,214
Olive Beige,Summer,Cool Blue,#87CEFA,255,248,214
Olive Beige,Summer,Lavender,#E6E6FA,255,248,214
Olive Beige,Summer,Soft Pink,#FFB6C1,255,248,214
Olive Beige,Summer,Cool Beige,#F5F5DC,255,248,214
Olive Beige,Summer,Light Grey,#D3D3D3,255,248,214
Olive Beige,Autumn,Olive Green,#808000,255,248,214
Olive Beige,Autumn,Mustard Yellow,#FFDB58,255,248,214
Olive Beige,Autumn,Warm Sand,#F4A460,255,248,214
Olive Beige,Autumn,Amber,#FFBF00,255,248,214
Olive Beige,Autumn,Burnt Orange,#CC5500,255,248,214
Olive Beige,Winter,Deep Red,#8B0000,255,248,214
Olive Beige,Winter,Cool Espresso,#4B3832,255,248,214
Olive Beige,Winter,Cool Almond,#EFDECD,255,248,214
Olive Beige,Winter,Mocha,#6F4E37,255,248,214
Olive Beige,Winter,Dark Teal,#014421,255,248,214
Natural,Spring,Light Coral,#F08080,240,218,185
Natural,Spring,Peach,#FFDAB9,240,218,185
Natural,Spring,Warm Ivory,#FFFAF0,240,218,185
Natural,Spring,Golden Beige,#F5DEB3,240,218,185
Natural,Spring,Soft Yellow,#FFFFE0,240,218,185
Natural,Summer,Cool Blue,#87CEFA,240,218,185
Natural,Summer,Lavender,#E6E6FA,240,218,185
Natural,Summer,Soft Pink,#FFB6C1,240,218,185
Natural,Summer,Cool Beige,#F5F5DC,240,218,185
Natural,Summer,Light Grey,#D3D3D3,240,218,185
Natural,Autumn,Olive Green,#808000,240,218,185
Natural,Autumn,Mustard Yellow,#FFDB58,240,218,185
Natural,Autumn,Warm Sand,#F4A460,240,218,185
Natural,Autumn,Amber,#FFBF00,240,218,185
Natural,Autumn,Burnt Orange,#CC5500,240,218,185
Natural,Winter,Deep Red,#8B0000,240,218,185
Natural,Winter,Cool Espresso,#4B3832,240,218,185
Natural,Winter,Cool Almond,#EFDECD,240,218,185
Natural,Winter,Mocha,#6F4E37,240,218,185
Natural,Winter,Dark Teal,#014421,240,218,185
Nude,Spring,Light Coral,#F08080,245,225,203
Nude,Spring,Peach,#FFDAB9,245,225,203
Nude,Spring,Warm Ivory,#FFFAF0,245,225,203
Nude,Spring,Golden Beige,#F5DEB3,245,225,203
Nude,Spring,Soft Yellow,#FFFFE0,245,225,203
Nude,Summer,Cool Blue,#87CEFA,245,225,203
Nude,Summer,Lavender,#E6E6FA,245,225,203
Nude,Summer,Soft Pink,#FFB6C1,245,225,203
Nude,Summer,Cool Beige,#F5F5DC,245,225,203
Nude,Summer,Light Grey,#D3D3D3,245,225,203
Nude,Autumn,Olive Green,#808000,245,225,203
Nude,Autumn,Mustard Yellow,#FFDB58,245,225,203
Nude,Autumn,Warm Sand,#F4A460,245,225,203
Nude,Autumn,Amber,#FFBF00,245,225,203
Nude,Autumn,Burnt Orange,#CC5500,245,225,203
Nude,Winter,Deep Red,#8B0000,245,225,203
Nude,Winter,Cool Espresso,#4B3832,245,225,203
Nude,Winter,Cool Almond,#EFDECD,245,225,203
Nude,Winter,Mocha,#6F4E37,245,225,203
Nude,Winter,Dark Teal,#014421,245,225,203
Cool Sand,Spring,Light Coral,#F08080,240,219,206
Cool Sand,Spring,Peach,#FFDAB9,240,219,206
Cool Sand,Spring,Warm Ivory,#FFFAF0,240,219,206
Cool Sand,Spring,Golden Beige,#F5DEB3,240,219,206
Cool Sand,Spring,Soft Yellow,#FFFFE0,240,219,206
Cool Sand,Summer,Cool Blue,#87CEFA,240,219,206
Cool Sand,Summer,Lavender,#E6E6FA,240,219,206
